# POINT_X,POINT_Y,Min_temp_Jul_F,Max_temp_jul_F,Rainfall_jul_inch
261196.8188,738890.0521,46.04,60.96,1.30
160196.8188,736890.0521,49.46,61.86,1.52
254196.8188,736890.0521,46.04,60.30,1.30
262196.8188,736890.0521,46.78,60.96,1.37
153196.8188,734890.0521,49.46,58.98,1.52
161196.8188,734890.0521,48.25,61.86,1.61
254196.8188,734890.0521,46.78,60.30,1.37
339196.8188,734890.0521,48.94,-9999.00,0.78
154196.8188,732890.0521,48.25,58.98,1.61
239196.8188,732890.0521,46.58,60.30,1.96
332196.8188,732890.0521,48.94,65.21,0.78
340196.8188,732890.0521,49.80,-9999.00,0.75
232196.8188,730890.0521,46.58,60.06,1.96
240196.8188,730890.0521,47.66,60.30,2.05
332196.8188,730890.0521,49.80,65.21,0.75
232196.8188,728890.0521,47.66,60.06,2.05
314196.8188,727890.0521,48.25,65.21,0.87
213196.8188,725890.0521,48.31,60.06,2.00
306196.8188,725890.0521,48.25,64.71,0.87
314196.8188,725890.0521,48.87,65.21,0.87
206196.8188,723890.0521,48.31,61.02,2.00
214196.8188,723890.0521,48.43,60.06,1.84
307196.8188,723890.0521,48.87,64.71,0.87
207196.8188,721890.0521,48.43,61.02,1.84
292196.8188,721890.0521,47.01,64.71,1.07
191196.8188,719890.0521,50.16,61.02,1.70
284196.8188,719890.0521,47.01,63.93,1.07
292196.8188,719890.0521,48.70,64.71,1.01
184196.8188,717890.0521,50.16,61.90,1.70
192196.8188,717890.0521,49.50,61.02,1.64
285196.8188,717890.0521,48.70,63.93,1.01
185196.8188,715890.0521,49.50,61.90,1.64
266196.8188,714890.0521,46.78,63.93,1.37
169196.8188,713890.0521,48.25,61.90,1.61
262196.8188,713890.0521,46.78,64.44,1.37
270196.8188,713890.0521,49.10,63.93,1.07
158196.8188,710890.0521,48.25,-9999.00,1.61
259196.8188,710890.0521,49.10,64.44,1.07
244196.8188,708890.0521,47.66,64.44,2.05
236196.8188,706890.0521,47.66,62.11,2.05
245196.8188,706890.0521,49.15,64.44,1.37
238196.8188,704890.0521,49.15,62.11,1.37
321196.8188,704890.0521,48.87,-9999.00,0.87
221196.8188,702890.0521,48.43,62.11,1.84
314196.8188,702890.0521,48.87,64.53,0.87
323196.8188,702890.0521,49.96,-9999.00,0.78
